id,x,y,village,locality
1,34.12883333,12.70097222,Alkhairat,Abu Hijar
2,34.12316667,12.74530556,Alabhath Abu Niaama,Abu Hijar
3,34.13205556,12.75311111,Barankwa,Abu Hijar
4,34.11122222,12.77772222,Alamara Rawaj,Abu Hijar
5,34.05588889,12.7325,Aabal,Abu Hijar
6,34.10163889,12.69758333,Aabal almahata,Abu Hijar
7,34.08797222,12.80222222,Alnayra,Abu Hijar
8,34.09072222,12.79772222,Rweena,Abu Hijar
9,34.07941667,12.81316667,Banat (Keneza),Abu Hijar
10,34.05872222,12.83725,Keneza Arab,Abu Hijar
11,34.06766667,12.82638889,Keneza Flata,Abu Hijar
12,34.04152778,12.8255,AlAzaza,Abu Hijar
13,34.05452778,12.84744444,AbuShotal,Abu Hijar
14,34.04311111,12.84736111,Tandalti,Abu Hijar
15,34.04719444,12.74669444,Ajola,Abu Hijar
16,33.99875,12.71230556,Jabal Alabiad,Abu Hijar
17,33.76422222,12.79875,Um Kherein,Abu Hijar
18,33.70355556,12.77213889,UmMarda,Abu Hijar
19,33.56716667,12.72827778,Abo Rawag,Abu Hijar
20,33.86252778,12.93475,Kambo 9,Abu Hijar
21,34.01544444,12.83416667,Al Gilla,Abu Hijar
22,34.01302778,12.84894444,Banat,Abu Hijar
23,34.01994444,12.83841667,Alsharaft,Abu Hijar
24,34.01327778,12.82158333,Alsheikh Ali Btay,Abu Hijar
25,34.00627778,12.90013889,Seiro,Abu Hijar
26,33.99511111,12.88547222,Tabat,Abu Hijar
27,33.97611111,12.89630556,Khor AlLibda,Abu Hijar
28,34.00077778,12.9315,Alsidrat,Abu Hijar
29,34.00427778,12.92497222,Aldayra,Abu Hijar
30,33.99052778,12.93841667,AlAmara Wad Baloola,Abu Hijar
31,33.98841667,12.94652778,Altawfeegia,Abu Hijar
32,33.97613889,12.96308333,Dar Alsslam,Abu Hijar
33,33.97855556,12.98452778,AlSaboonabi,Abu Hijar
34,33.94722222,13.03675,Geshesh Albahar,Abu Hijar
35,33.95763889,13.02127778,Wad Aljak,Abu Hijar
36,33.94269444,13.04697222,Um Marah,Abu Hijar
37,33.93547222,12.97225,Dar Agail,Abu Hijar
38,33.93363889,12.94908333,Um Namil,Abu Hijar
39,33.92297222,12.964,Um Badir,Abu Hijar
40,33.90069444,12.97083333,AlLayoona,Abu Hijar
41,33.99588889,12.93825,Wad Karar,Abu Hijar
42,33.96766667,13.01480556,Mabrooka,Abu Hijar
43,33.98654167,12.85841667,Abu Hijar,Abu Hijar
44,34.12591667,12.72580556,Abu Naama,Abu Hijar
