"country","lon","lat"
"Afghanistan",67.709953,33.93911
"Akrotiri and Dhekelia",32.9743145,34.5802786
"Aland Islands",19.9156105,60.1785247
"Albania",20.168331,41.153332
"Algeria",1.659626,28.033886
"American Samoa",-170.132217,-14.270972
"Andorra",1.521801,42.506285
"Angola",17.873887,-11.202692
"Anguilla",-63.068615,18.220554
"Antigua and Barbuda",-61.796428,17.060816
"Argentina",-63.616672,-38.416097
"Armenia",45.038189,40.069099
"Aruba",-69.968338,12.52111
"Australia",133.775136,-25.274398
"Austria",14.550072,47.516231
"Azerbaijan",47.576927,40.143105
"Bahamas",-77.39628,25.03428
"Bahrain",50.5577,26.0667
"Bangladesh",90.356331,23.684994
"Barbados",-59.543198,13.193887
"Belarus",27.953389,53.709807
"Belgium",4.469936,50.503887
"Belize",-88.49765,17.189877
"Benin",2.315834,9.30769
"Bermuda",-64.7505,32.3078
"Bhutan",90.433601,27.514162
"Bolivia",-63.588653,-16.290154
"Bonaire Sint Eustatius Saba",-68.2385339,12.1783611
"Bosnia and Herzegovina",17.679076,43.915886
"Botswana",24.684866,-22.328474
"Bouvet Island",3.3464497,-54.4207915
"Brazil",-51.92528,-14.235004
"British Indian Ocean Territory",71.876519,-6.343194
"Brunei Darussalam",114.727669,4.535277
"Bulgaria",25.48583,42.733883
"Burkina Faso",-1.561593,12.238333
"Burundi",29.918886,-3.373056
"Cabo Verde",-23.0418,16.5388
"Cambodia",104.990963,12.565679
"Cameroon",12.354722,7.369722
"Canada",-106.346771,56.130366
"Caspian Sea",50.668945,41.934977
"Cayman Islands",-81.2546,19.3133
"Central African Republic",20.939444,6.611111
"Chad",18.732207,15.454166
"Chile",-71.542969,-35.675147
"China",104.195397,35.86166
"Christmas Island",105.690449,-10.447525
"Clipperton Island",-109.2166667,10.2833333
"Cocos Islands",96.870956,-12.164165
"Colombia",-74.297333,4.570868
"Comoros",43.3333,-11.6455
"Democratic Republic of the Congo",21.758664,-4.038333
"Congo",21.758664,-4.038333
"Cook Islands",-159.777671,-21.236736
"Costa Rica",-83.753428,9.748917
"Cote d'Ivoire",-5.54708,7.539989
"Croatia",15.2000001,45.1
"Cuba",-77.781167,21.521757
"Curacao",-68.99002,12.16957
"Cyprus",33.429859,35.126413
"Czechia",15.472962,49.817492
"Denmark",9.501785,56.26392
"Djibouti",42.590275,11.825138
"Dominica",-61.370976,15.414999
"Dominican Republic",-70.162651,18.735693
"Ecuador",-78.183406,-1.831239
"Egypt",30.802498,26.820553
"El Salvador",-88.89653,13.794185
"Equatorial Guinea",10.267895,1.650801
"Eritrea",39.782334,15.179384
"Estonia",25.0136071,58.595272
"Ethiopia",40.489673,9.145
"Falkland Islands",-59.523613,-51.796253
"Faroe Islands",-6.9118061,61.892635
"Fiji",178.065032,-17.713371
"Finland",25.7481511,61.92411
"France",2.213749,46.227638
"French Guiana",-53.125782,3.933889
"French Polynesia",-149.406843,-17.679742
"French Southern Territories",69.3485571,-49.280366
"Gabon",11.609444,-0.803689
"Gambia",-15.310139,13.443182
"Georgia",-82.9000751,32.1656221
"Germany",10.451526,51.165691
"Ghana",-1.023194,7.946527
"Gibraltar",-5.353585,36.140751
"Greece",21.824312,39.074208
"Greenland",-42.604303,71.706936
"Grenada",-61.679,12.1165
"Guadeloupe",-61.551,16.265
"Guam",144.793731,13.444304
"Guatemala",-90.230759,15.783471
"Guernsey",-2.58949,49.4481982
"Guinea",-9.696645,9.945587
"Guinea-Bissau",-15.180413,11.803749
"Guyana",-58.93018,4.860416
"Haiti",-72.285215,18.971187
"Heard Island and McDonald Islands",73.504158,-53.08181
"Vatican City",12.453389,41.902916
"Honduras",-86.241905,15.199999
