"country","utm","proj"
"Sudan","Adindan / UTM zone 35N","+proj=utm +zone=35 +ellps=clrk80 +towgs84=-166,-15,204,0,0,0,0 +units=m +no_defs"
"Ethiopia","Adindan / UTM zone 38N","+proj=utm +zone=38 +ellps=clrk80 +towgs84=-166,-15,204,0,0,0,0 +units=m +no_defs "
"Kenya","Arc 1960 / UTM zone 37N","+proj=utm +zone=37 +ellps=clrk80 +towgs84=-160,-6,-302,0,0,0,0 +units=m +no_defs"
"Somalia","Afgooye / UTM zone 39N","+proj=utm +zone=39 +ellps=krass +towgs84=-43,-163,45,0,0,0,0 +units=m +no_defs"
"Uganda","Arc 1960 / UTM zone 35N","+proj=utm +zone=35 +ellps=clrk80 +towgs84=-160,-6,-302,0,0,0,0 +units=m +no_defs"
"Rwanda","WGS 84 / UTM zone 36S","+proj=utm +zone=36 +south +datum=WGS84 +units=m +no_defs"
"Zambia","Arc 1950 / UTM zone 34S","+proj=utm +zone=34 +south +a=6378249.145 +b=6356514.966398753 +towgs84=-143,-90,-294,0,0,0,0 +units=m +no_defs"
"Nigeria","Minna / UTM zone 32N","+proj=utm +zone=32 +ellps=clrk80 +towgs84=-92,-93,122,0,0,0,0 +units=m +no_defs"
"Niger","WGS 84 / UTM zone 31N","+proj=utm +zone=31 +datum=WGS84 +units=m +no_defs"
"Burkina Faso","WGS 84 / UTM zone 30N","+proj=utm +zone=30 +datum=WGS84 +units=m +no_defs"
"Liberia","EPSG:32629","+proj=utm +zone=29 +ellps=WGS84 +datum=WGS84 +units=m +no_defs"
"Sierra Leone","Sierra Leone 1968","+proj=utm +zone=28 +ellps=clrk80 +towgs84=-88,4,101,0,0,0,0 +units=m +no_defs"
"Mozambique","Moznet / UTM zone 38S","+proj=utm +zone=38 +south +ellps=WGS84 +towgs84=0,0,0,-0,-0,-0,0 +units=m +no_defs"
